"Options.SECTION:[algernon.HistoricalStart]","Historical Start"
"Options.OPTION:ResetModSettings","Przywróć ustawienia domyślne"
"Options.OPTION:UnlockBus","Odblokuj autobusy"
"Options.OPTION_DESCRIPTION:UnlockBus","Odblokowuje transport autobusowy."
"Options.OPTION:UnlockTrams","Odblokuj tramwaje"
"Options.OPTION_DESCRIPTION:UnlockTrams","Odblokowuje transport tramwajowy."
"Options.OPTION:UnlockTrains","Odblokuj tory"
"Options.OPTION_DESCRIPTION:UnlockTrains","Odblokowuje transport kolejowy i tory."
"Options.OPTION:UnlockShips","Odblokuj transport wodny"
"Options.OPTION_DESCRIPTION:UnlockShips","Odblokowuje transport wodny."
"Options.OPTION:UnlockFarming","Odblokuj zaawansowane rolnictwo"
"Options.OPTION_DESCRIPTION:UnlockFarming","Odblokowuje uprawę warzyw i bawełny."
"Options.OPTION:UnlockMining","Odblokuj górnictwo"
"Options.OPTION_DESCRIPTION:UnlockMining","Odblokowuje wydobycie rudy i węgla."
"Options.OPTION:UnlockOil","Odblokuj ropę"
"Options.OPTION_DESCRIPTION:UnlockOil","Odblokowuje odwierty ropy."
"Options.OPTION:UnlockBasicHighways","Odblokuj podstawowe autostrady"
"Options.OPTION_DESCRIPTION:UnlockBasicHighways","Odblokowuje małe autostrady dwukierunkowe."
"Options.OPTION:UnlockAllHighways","Odblokuj wszystkie autostrady"
"Options.OPTION_DESCRIPTION:UnlockAllHighways","Odblokowuje wszystkie autostrady."
"Options.OPTION_DESCRIPTION:ResetModSettings","Resetuje wszystkie ustawienia modyfikacji Historical Start do wartości domyślnych"
"Options.WARNING:ResetModSettings","Przywrócić ustawienia moda Historical Startdo ustawień domyślnych? Tej czynności nie można cofnąć."
